"Series";"Time";"Value"
"Отправлено_Прогноз";"2018-08-01 09:50";27 820
"Отправлено_Прогноз";"2018-08-01 10:00";58 138
"Отправлено_Прогноз";"2018-08-01 10:10";59 055
"Отправлено_Прогноз";"2018-08-01 10:20";60 738
"Отправлено_Прогноз";"2018-08-01 10:30";60 292
"Отправлено_Прогноз";"2018-08-01 10:40";59 549
"Отправлено_Прогноз";"2018-08-01 10:50";61 508
"Отправлено_Прогноз";"2018-08-01 11:00";60 410
"Отправлено_Прогноз";"2018-08-01 11:10";60 547
"Отправлено_Прогноз";"2018-08-01 11:20";64 775
"Отправлено_Прогноз";"2018-08-01 11:30";61 420
"Отправлено_Прогноз";"2018-08-01 11:40";61 084
"Отправлено_Прогноз";"2018-08-01 11:50";60 287
"Отправлено_Прогноз";"2018-08-01 12:00";61 227
"Отправлено_Прогноз";"2018-08-01 12:10";62 175
"Отправлено_Прогноз";"2018-08-01 12:20";61 985
"Отправлено_Прогноз";"2018-08-01 12:30";60 332
"Отправлено_Прогноз";"2018-08-01 12:40";61 178
"Отправлено_Прогноз";"2018-08-01 12:50";59 231
"Отправлено_Прогноз";"2018-08-01 13:00";60 375
"Отправлено_Прогноз";"2018-08-01 13:10";72 324
"Отправлено_Прогноз";"2018-08-01 13:20";65 300
"Отправлено_Прогноз";"2018-08-01 13:30";58 749
"Отправлено_Прогноз";"2018-08-01 13:40";58 190
"Отправлено_Прогноз";"2018-08-01 13:50";57 922
"Отправлено_Прогноз";"2018-08-01 14:00";58 036
"Отправлено_Прогноз";"2018-08-01 14:10";56 379
"Отправлено_Прогноз";"2018-08-01 14:20";61 734
"Отправлено_Прогноз";"2018-08-01 14:30";58 676
"Отправлено_Прогноз";"2018-08-01 14:40";59 986
"Отправлено_Прогноз";"2018-08-01 14:50";57 257
"Отправлено_Прогноз";"2018-08-01 15:00";53 946
"Отправлено_Прогноз";"2018-08-01 15:10";51 686
"Отправлено_Прогноз";"2018-08-01 15:20";50 958
