"Series";"Time";"Value"
"Отправлено_Прогноз";"2018-07-21 03:00";0
"Отправлено_Прогноз";"2018-07-22 03:00";0
"Отправлено_Прогноз";"2018-07-23 03:00";0
"Отправлено_Прогноз";"2018-07-24 03:00";0
"Отправлено_Прогноз";"2018-07-25 03:00";6 210 857
"Отправлено_Прогноз";"2018-07-26 03:00";6 739 801
"Отправлено_Прогноз";"2018-07-27 03:00";6 642 884
"Отправлено_Прогноз";"2018-07-28 03:00";6 139 843
"Отправлено_Прогноз";"2018-07-29 03:00";6 134 504
"Отправлено_Прогноз";"2018-07-30 03:00";5 864 471
"Отправлено_Прогноз";"2018-07-31 03:00";5 920 741
"Отправлено_Прогноз";"2018-08-01 03:00";6 409 162
"Отправлено_Прогноз";"2018-08-02 03:00";6 204 346
"Отправлено_Прогноз";"2018-08-03 03:00";6 197 090
"Отправлено_Прогноз";"2018-08-04 03:00";6 310 678
"Отправлено_Прогноз";"2018-08-05 03:00";7 328 611
"Отправлено_Прогноз";"2018-08-06 03:00";5 690 398
"Отправлено_Прогноз";"2018-08-07 03:00";5 705 406
"Отправлено_Прогноз";"2018-08-08 03:00";6 318 581
"Отправлено_Прогноз";"2018-08-09 03:00";6 369 624
"Отправлено_Прогноз";"2018-08-10 03:00";6 520 195
"Отправлено_Прогноз";"2018-08-11 03:00";6 707 171
"Отправлено_Прогноз";"2018-08-12 03:00";6 738 260
"Отправлено_Прогноз";"2018-08-13 03:00";6 219 497
"Отправлено_Прогноз";"2018-08-14 03:00";5 963 621
"Отправлено_Прогноз";"2018-08-15 03:00";6 749 195
"Отправлено_Прогноз";"2018-08-16 03:00";7 040 506
"Отправлено_Прогноз";"2018-08-17 03:00";6 396 524
"Отправлено_Прогноз";"2018-08-18 03:00";7 295 562
"Отправлено_Прогноз";"2018-08-19 03:00";7 147 618
"Отправлено_Прогноз";"2018-08-20 03:00";7 102 535
"Отправлено_Прогноз";"2018-08-21 03:00";6 323 033
"Отправлено_Прогноз";"2018-08-22 03:00";7 413 092
"Отправлено_Прогноз";"2018-08-23 03:00";6 990 520
"Отправлено_Прогноз";"2018-08-24 03:00";8 251 403
"Отправлено_Прогноз";"2018-08-25 03:00";8 991 505
"Отправлено_Прогноз";"2018-08-26 03:00";8 654 584
"Отправлено_Прогноз";"2018-08-27 03:00";7 142 669
"Отправлено_Прогноз";"2018-08-28 03:00";7 184 459
"Отправлено_Прогноз";"2018-08-29 03:00";7 563 951
"Отправлено_Прогноз";"2018-08-30 03:00";7 812 277
"Отправлено_Прогноз";"2018-08-31 03:00";8 018 582
"Отправлено_Прогноз";"2018-09-01 03:00";6 743 838
"Отправлено_Прогноз";"2018-09-02 03:00";6 887 251
"Отправлено_Прогноз";"2018-09-03 03:00";6 927 461
"Отправлено_Прогноз";"2018-09-04 03:00";6 723 446
"Отправлено_Прогноз";"2018-09-05 03:00";8 873 301
"Отправлено_Прогноз";"2018-09-06 03:00";7 170 647
"Отправлено_Прогноз";"2018-09-07 03:00";8 030 669
"Отправлено_Прогноз";"2018-09-08 03:00";7 810 642
"Отправлено_Прогноз";"2018-09-09 03:00";8 450 116
"Отправлено_Прогноз";"2018-09-10 03:00";7 285 940
"Отправлено_Прогноз";"2018-09-11 03:00";6 994 095
"Отправлено_Прогноз";"2018-09-12 03:00";7 975 144
"Отправлено_Прогноз";"2018-09-13 03:00";8 282 427
"Отправлено_Прогноз";"2018-09-14 03:00";8 478 213
"Отправлено_Прогноз";"2018-09-15 03:00";8 167 395
"Отправлено_Прогноз";"2018-09-16 03:00";7 798 667
"Отправлено_Прогноз";"2018-09-17 03:00";7 283 837
"Отправлено_Прогноз";"2018-09-18 03:00";7 127 995
"Отправлено_Прогноз";"2018-09-19 03:00";7 445 376
"Отправлено_Прогноз";"2018-09-20 03:00";10 215 967
"Отправлено_Прогноз";"2018-09-21 03:00";8 179 685
"Отправлено_Прогноз";"2018-09-22 03:00";8 337 654
"Отправлено_Прогноз";"2018-09-23 03:00";8 466 173
"Отправлено_Прогноз";"2018-09-24 03:00";7 819 255
"Отправлено_Прогноз";"2018-09-25 03:00";8 055 978
"Отправлено_Прогноз";"2018-09-26 03:00";9 590 187
"Отправлено_Прогноз";"2018-09-27 03:00";8 236 285
"Отправлено_Прогноз";"2018-09-28 03:00";9 342 070
"Отправлено_Прогноз";"2018-09-29 03:00";8 867 829
"Отправлено_Прогноз";"2018-09-30 03:00";8 710 323
"Отправлено_Прогноз";"2018-10-01 03:00";8 211 653
"Отправлено_Прогноз";"2018-10-02 03:00";7 836 695
"Отправлено_Прогноз";"2018-10-03 03:00";8 530 508
"Отправлено_Прогноз";"2018-10-04 03:00";8 582 840
"Отправлено_Прогноз";"2018-10-05 03:00";7 885 368
"Отправлено_Прогноз";"2018-10-06 03:00";9 998 711
"Отправлено_Прогноз";"2018-10-07 03:00";8 459 116
"Отправлено_Прогноз";"2018-10-08 03:00";7 731 148
"Отправлено_Прогноз";"2018-10-09 03:00";7 595 005
"Отправлено_Прогноз";"2018-10-10 03:00";8 686 445
"Отправлено_Прогноз";"2018-10-11 03:00";8 451 425
"Отправлено_Прогноз";"2018-10-12 03:00";8 322 882
"Отправлено_Прогноз";"2018-10-13 03:00";8 301 903
"Отправлено_Прогноз";"2018-10-14 03:00";8 565 677
"Отправлено_Прогноз";"2018-10-15 03:00";8 179 740
"Отправлено_Прогноз";"2018-10-16 03:00";7 714 663
"Отправлено_Прогноз";"2018-10-17 03:00";8 879 178
"Отправлено_Прогноз";"2018-10-18 03:00";8 596 047
"Отправлено_Прогноз";"2018-10-19 03:00";8 551 786
"Отправлено_Прогноз";"2018-10-20 03:00";8 573 503
"Отправлено_Прогноз";"2018-10-21 03:00";9 647 209
"Отправлено_Прогноз";"2018-10-22 03:00";7 670 561
"Отправлено_Прогноз";"2018-10-23 03:00";4 900 395
"Отправлено_Прогноз";"2018-10-24 03:00";4 082 348
"Отправлено_Прогноз";"2018-10-25 03:00";6 213 415
"Отправлено_Прогноз";"2018-10-26 03:00";10 518 035
"Отправлено_Прогноз";"2018-10-27 03:00";11 214 916
"Отправлено_Прогноз";"2018-10-28 03:00";9 811 362
"Отправлено_Прогноз";"2018-10-29 03:00";8 818 333
"Отправлено_Прогноз";"2018-10-30 03:00";9 268 537
"Отправлено_Прогноз";"2018-10-31 03:00";9 684 769
"Отправлено_Прогноз";"2018-11-01 03:00";8 244 195
"Отправлено_Прогноз";"2018-11-02 03:00";8 235 845
"Отправлено_Прогноз";"2018-11-03 03:00";9 379 895
"Отправлено_Прогноз";"2018-11-04 03:00";9 536 238
"Отправлено_Прогноз";"2018-11-05 03:00";10 988 213
"Отправлено_Прогноз";"2018-11-06 03:00";8 138 748
"Отправлено_Прогноз";"2018-11-07 03:00";9 616 997
"Отправлено_Прогноз";"2018-11-08 03:00";8 914 245
"Отправлено_Прогноз";"2018-11-09 03:00";9 113 509
"Отправлено_Прогноз";"2018-11-10 03:00";8 533 731
"Отправлено_Прогноз";"2018-11-11 03:00";9 372 435
"Отправлено_Прогноз";"2018-11-12 03:00";9 091 414
"Отправлено_Прогноз";"2018-11-13 03:00";9 337 062
"Отправлено_Прогноз";"2018-11-14 03:00";10 680 864
"Отправлено_Прогноз";"2018-11-15 03:00";10 050 104
"Отправлено_Прогноз";"2018-11-16 03:00";10 754 905
"Отправлено_Прогноз";"2018-11-17 03:00";10 211 064
"Отправлено_Прогноз";"2018-11-18 03:00";10 883 563
"Отправлено_Прогноз";"2018-11-19 03:00";9 906 937
"Отправлено_Прогноз";"2018-11-20 03:00";11 259 593
"Отправлено_Прогноз";"2018-11-21 03:00";10 467 507
"Отправлено_Прогноз";"2018-11-22 03:00";10 405 611
"Отправлено_Прогноз";"2018-11-23 03:00";9 918 722
"Отправлено_Прогноз";"2018-11-24 03:00";11 474 377
"Отправлено_Прогноз";"2018-11-25 03:00";14 304 638
"Отправлено_Прогноз";"2018-11-26 03:00";13 109 867
"Отправлено_Прогноз";"2018-11-27 03:00";9 994 605
"Отправлено_Прогноз";"2018-11-28 03:00";11 455 024
"Отправлено_Прогноз";"2018-11-29 03:00";11 405 293
"Отправлено_Прогноз";"2018-11-30 03:00";10 983 942
"Отправлено_Прогноз";"2018-12-01 03:00";11 503 831
"Отправлено_Прогноз";"2018-12-02 03:00";10 231 957
"Отправлено_Прогноз";"2018-12-03 03:00";9 629 876
"Отправлено_Прогноз";"2018-12-04 03:00";9 579 504
"Отправлено_Прогноз";"2018-12-05 03:00";9 648 816
"Отправлено_Прогноз";"2018-12-06 03:00";13 335 609
"Отправлено_Прогноз";"2018-12-07 03:00";9 772 247
"Отправлено_Прогноз";"2018-12-08 03:00";10 571 728
"Отправлено_Прогноз";"2018-12-09 03:00";11 370 963
"Отправлено_Прогноз";"2018-12-10 03:00";10 135 682
"Отправлено_Прогноз";"2018-12-11 03:00";9 570 569
"Отправлено_Прогноз";"2018-12-12 03:00";10 545 324
"Отправлено_Прогноз";"2018-12-13 03:00";12 475 285
"Отправлено_Прогноз";"2018-12-14 03:00";12 837 355
"Отправлено_Прогноз";"2018-12-15 03:00";10 907 535
"Отправлено_Прогноз";"2018-12-16 03:00";11 321 356
"Отправлено_Прогноз";"2018-12-17 03:00";10 422 078
"Отправлено_Прогноз";"2018-12-18 03:00";9 838 778
"Отправлено_Прогноз";"2018-12-19 03:00";10 216 298
"Отправлено_Прогноз";"2018-12-20 03:00";10 092 757
"Отправлено_Прогноз";"2018-12-21 03:00";12 205 153
"Отправлено_Прогноз";"2018-12-22 03:00";8 428 370
"Отправлено_Прогноз";"2018-12-23 03:00";10 222 290
"Отправлено_Прогноз";"2018-12-24 03:00";9 437 515
"Отправлено_Прогноз";"2018-12-25 03:00";9 361 981
"Отправлено_Прогноз";"2018-12-26 03:00";12 759 307
"Отправлено_Прогноз";"2018-12-27 03:00";12 906 104
"Отправлено_Прогноз";"2018-12-28 03:00";11 620 440
"Отправлено_Прогноз";"2018-12-29 03:00";10 874 634
"Отправлено_Прогноз";"2018-12-30 03:00";9 904 021
"Отправлено_Прогноз";"2018-12-31 03:00";10 053 558
"Отправлено_Прогноз";"2019-01-01 03:00";8 978 955
"Отправлено_Прогноз";"2019-01-02 03:00";10 287 856
"Отправлено_Прогноз";"2019-01-03 03:00";10 661 222
"Отправлено_Прогноз";"2019-01-04 03:00";10 073 744
"Отправлено_Прогноз";"2019-01-05 03:00";12 637 023
"Отправлено_Прогноз";"2019-01-06 03:00";9 903 384
"Отправлено_Прогноз";"2019-01-07 03:00";9 092 708
"Отправлено_Прогноз";"2019-01-08 03:00";8 730 925
"Отправлено_Прогноз";"2019-01-09 03:00";9 928 530
"Отправлено_Прогноз";"2019-01-10 03:00";19 213 223
"Отправлено_Прогноз";"2019-01-11 03:00";14 168 139
"Отправлено_Прогноз";"2019-01-12 03:00";11 373 262
"Отправлено_Прогноз";"2019-01-13 03:00";11 571 665
"Отправлено_Прогноз";"2019-01-14 03:00";10 093 185
"Отправлено_Прогноз";"2019-01-15 03:00";9 521 219
"Отправлено_Прогноз";"2019-01-16 03:00";10 766 626
"Отправлено_Прогноз";"2019-01-17 03:00";11 269 174
"Отправлено_Прогноз";"2019-01-18 03:00";11 698 641
"Отправлено_Прогноз";"2019-01-19 03:00";14 848 375
"Отправлено_Прогноз";"2019-01-20 03:00";10 693 618
"Отправлено";"2018-07-21 03:00";1 515 819
"Отправлено";"2018-07-22 03:00";6 323 033
"Отправлено";"2018-07-23 03:00";7 413 092
"Отправлено";"2018-07-24 03:00";6 990 520
"Отправлено";"2018-07-25 03:00";8 251 403
"Отправлено";"2018-07-26 03:00";8 991 505
"Отправлено";"2018-07-27 03:00";8 654 584
"Отправлено";"2018-07-28 03:00";7 142 669
"Отправлено";"2018-07-29 03:00";7 184 459
"Отправлено";"2018-07-30 03:00";7 563 951
"Отправлено";"2018-07-31 03:00";7 812 277
"Отправлено";"2018-08-01 03:00";8 018 582
"Отправлено";"2018-08-02 03:00";6 743 838
"Отправлено";"2018-08-03 03:00";6 887 251
"Отправлено";"2018-08-04 03:00";6 927 461
"Отправлено";"2018-08-05 03:00";6 723 446
"Отправлено";"2018-08-06 03:00";8 873 301
"Отправлено";"2018-08-07 03:00";7 170 647
"Отправлено";"2018-08-08 03:00";8 030 669
"Отправлено";"2018-08-09 03:00";7 810 642
"Отправлено";"2018-08-10 03:00";8 450 116
"Отправлено";"2018-08-11 03:00";7 285 940
"Отправлено";"2018-08-12 03:00";6 994 095
"Отправлено";"2018-08-13 03:00";7 975 144
"Отправлено";"2018-08-14 03:00";8 282 427
"Отправлено";"2018-08-15 03:00";8 478 213
"Отправлено";"2018-08-16 03:00";8 167 395
"Отправлено";"2018-08-17 03:00";7 798 667
"Отправлено";"2018-08-18 03:00";7 283 837
"Отправлено";"2018-08-19 03:00";7 127 995
"Отправлено";"2018-08-20 03:00";7 445 376
"Отправлено";"2018-08-21 03:00";10 215 967
"Отправлено";"2018-08-22 03:00";8 179 685
"Отправлено";"2018-08-23 03:00";8 337 654
"Отправлено";"2018-08-24 03:00";8 466 173
"Отправлено";"2018-08-25 03:00";7 819 255
"Отправлено";"2018-08-26 03:00";8 055 978
"Отправлено";"2018-08-27 03:00";9 590 187
"Отправлено";"2018-08-28 03:00";8 236 285
"Отправлено";"2018-08-29 03:00";9 342 070
"Отправлено";"2018-08-30 03:00";8 867 829
"Отправлено";"2018-08-31 03:00";8 710 323
"Отправлено";"2018-09-01 03:00";8 211 653
"Отправлено";"2018-09-02 03:00";7 836 695
"Отправлено";"2018-09-03 03:00";8 530 508
"Отправлено";"2018-09-04 03:00";8 582 840
"Отправлено";"2018-09-05 03:00";7 885 368
"Отправлено";"2018-09-06 03:00";9 998 711
"Отправлено";"2018-09-07 03:00";8 459 116
"Отправлено";"2018-09-08 03:00";7 731 148
"Отправлено";"2018-09-09 03:00";7 595 005
"Отправлено";"2018-09-10 03:00";8 686 445
"Отправлено";"2018-09-11 03:00";8 451 425
"Отправлено";"2018-09-12 03:00";8 322 882
"Отправлено";"2018-09-13 03:00";8 301 903
"Отправлено";"2018-09-14 03:00";8 565 677
"Отправлено";"2018-09-15 03:00";8 179 740
"Отправлено";"2018-09-16 03:00";7 714 663
"Отправлено";"2018-09-17 03:00";8 879 178
"Отправлено";"2018-09-18 03:00";8 596 047
"Отправлено";"2018-09-19 03:00";8 551 786
"Отправлено";"2018-09-20 03:00";8 573 503
"Отправлено";"2018-09-21 03:00";9 647 209
"Отправлено";"2018-09-22 03:00";7 670 561
"Отправлено";"2018-09-23 03:00";4 900 395
"Отправлено";"2018-09-24 03:00";4 082 348
"Отправлено";"2018-09-25 03:00";6 213 415
"Отправлено";"2018-09-26 03:00";10 518 035
"Отправлено";"2018-09-27 03:00";11 214 916
"Отправлено";"2018-09-28 03:00";9 811 362
"Отправлено";"2018-09-29 03:00";8 818 333
"Отправлено";"2018-09-30 03:00";9 268 537
"Отправлено";"2018-10-01 03:00";9 684 769
"Отправлено";"2018-10-02 03:00";8 244 195
"Отправлено";"2018-10-03 03:00";8 235 845
"Отправлено";"2018-10-04 03:00";9 379 895
"Отправлено";"2018-10-05 03:00";9 536 238
"Отправлено";"2018-10-06 03:00";10 988 213
"Отправлено";"2018-10-07 03:00";8 138 748
"Отправлено";"2018-10-08 03:00";9 616 997
"Отправлено";"2018-10-09 03:00";8 914 245
"Отправлено";"2018-10-10 03:00";9 113 509
"Отправлено";"2018-10-11 03:00";8 533 731
"Отправлено";"2018-10-12 03:00";9 372 435
"Отправлено";"2018-10-13 03:00";9 091 414
"Отправлено";"2018-10-14 03:00";9 337 062
"Отправлено";"2018-10-15 03:00";10 680 864
"Отправлено";"2018-10-16 03:00";10 050 104
"Отправлено";"2018-10-17 03:00";10 754 905
"Отправлено";"2018-10-18 03:00";10 211 064
"Отправлено";"2018-10-19 03:00";10 883 563
"Отправлено";"2018-10-20 03:00";9 906 937
"Отправлено";"2018-10-21 03:00";11 259 593
"Отправлено";"2018-10-22 03:00";10 467 507
"Отправлено";"2018-10-23 03:00";10 405 611
"Отправлено";"2018-10-24 03:00";9 918 722
"Отправлено";"2018-10-25 03:00";11 474 377
"Отправлено";"2018-10-26 03:00";14 304 638
"Отправлено";"2018-10-27 03:00";13 109 867
"Отправлено";"2018-10-28 03:00";9 994 605
"Отправлено";"2018-10-29 03:00";11 455 024
"Отправлено";"2018-10-30 03:00";11 405 293
"Отправлено";"2018-10-31 03:00";10 983 942
"Отправлено";"2018-11-01 03:00";11 503 831
"Отправлено";"2018-11-02 03:00";10 231 957
"Отправлено";"2018-11-03 03:00";9 629 876
"Отправлено";"2018-11-04 03:00";9 579 504
"Отправлено";"2018-11-05 03:00";9 648 816
