"Series";"Time";"Value"
"Отправлено_Прогноз";"2018-08-15 00:00";120 503
"Отправлено_Прогноз";"2018-08-15 01:00";81 908
"Отправлено_Прогноз";"2018-08-15 02:00";94 822
"Отправлено_Прогноз";"2018-08-15 03:00";134 987
"Отправлено_Прогноз";"2018-08-15 04:00";149 140
"Отправлено_Прогноз";"2018-08-15 05:00";138 563
"Отправлено_Прогноз";"2018-08-15 06:00";213 324
"Отправлено_Прогноз";"2018-08-15 07:00";233 358
"Отправлено_Прогноз";"2018-08-15 08:00";320 829
"Отправлено_Прогноз";"2018-08-15 09:00";375 513
"Отправлено_Прогноз";"2018-08-15 10:00";379 249
"Отправлено_Прогноз";"2018-08-15 11:00";382 027
"Отправлено_Прогноз";"2018-08-15 12:00";372 900
"Отправлено_Прогноз";"2018-08-15 13:00";383 615
"Отправлено_Прогноз";"2018-08-15 14:00";349 072
"Отправлено_Прогноз";"2018-08-15 15:00";334 814
"Отправлено_Прогноз";"2018-08-15 16:00";334 015
"Отправлено_Прогноз";"2018-08-15 17:00";323 112
"Отправлено_Прогноз";"2018-08-15 18:00";291 793
"Отправлено_Прогноз";"2018-08-15 19:00";277 451
"Отправлено_Прогноз";"2018-08-15 20:00";246 782
"Отправлено_Прогноз";"2018-08-15 21:00";196 267
"Отправлено_Прогноз";"2018-08-15 22:00";131 791
"Отправлено_Прогноз";"2018-08-15 23:00";106 598
"Отправлено_Прогноз";"2018-08-16 00:00";121 559
"Отправлено_Прогноз";"2018-08-16 01:00";74 953
"Отправлено_Прогноз";"2018-08-16 02:00";91 909
"Отправлено_Прогноз";"2018-08-16 03:00";143 148
"Отправлено_Прогноз";"2018-08-16 04:00";160 517
"Отправлено_Прогноз";"2018-08-16 05:00";158 648
"Отправлено_Прогноз";"2018-08-16 06:00";232 618
"Отправлено_Прогноз";"2018-08-16 07:00";273 600
"Отправлено_Прогноз";"2018-08-16 08:00";367 319
"Отправлено_Прогноз";"2018-08-16 09:00";428 374
"Отправлено_Прогноз";"2018-08-16 10:00";420 625
"Отправлено_Прогноз";"2018-08-16 11:00";429 330
"Отправлено_Прогноз";"2018-08-16 12:00";408 526
"Отправлено_Прогноз";"2018-08-16 13:00";425 726
"Отправлено_Прогноз";"2018-08-16 14:00";409 651
"Отправлено_Прогноз";"2018-08-16 15:00";425 596
"Отправлено_Прогноз";"2018-08-16 16:00";390 297
"Отправлено_Прогноз";"2018-08-16 17:00";362 481
"Отправлено_Прогноз";"2018-08-16 18:00";328 821
"Отправлено_Прогноз";"2018-08-16 19:00";311 426
"Отправлено_Прогноз";"2018-08-16 20:00";280 762
"Отправлено_Прогноз";"2018-08-16 21:00";229 344
"Отправлено_Прогноз";"2018-08-16 22:00";153 242
"Отправлено_Прогноз";"2018-08-16 23:00";113 831
"Отправлено_Прогноз";"2018-08-17 00:00";118 725
"Отправлено_Прогноз";"2018-08-17 01:00";82 216
"Отправлено_Прогноз";"2018-08-17 02:00";94 372
"Отправлено_Прогноз";"2018-08-17 03:00";144 327
"Отправлено_Прогноз";"2018-08-17 04:00";161 206
"Отправлено_Прогноз";"2018-08-17 05:00";163 084
"Отправлено_Прогноз";"2018-08-17 06:00";241 536
"Отправлено_Прогноз";"2018-08-17 07:00";249 729
"Отправлено_Прогноз";"2018-08-17 08:00";366 542
"Отправлено_Прогноз";"2018-08-17 09:00";474 500
"Отправлено_Прогноз";"2018-08-17 10:00";452 191
"Отправлено_Прогноз";"2018-08-17 11:00";456 458
"Отправлено_Прогноз";"2018-08-17 12:00";426 703
"Отправлено_Прогноз";"2018-08-17 13:00";371 598
"Отправлено_Прогноз";"2018-08-17 14:00";334 886
"Отправлено_Прогноз";"2018-08-17 15:00";385 599
"Отправлено_Прогноз";"2018-08-17 16:00";406 273
"Отправлено_Прогноз";"2018-08-17 17:00";324 266
"Отправлено_Прогноз";"2018-08-17 18:00";317 923
"Отправлено_Прогноз";"2018-08-17 19:00";296 249
"Отправлено_Прогноз";"2018-08-17 20:00";315 081
"Отправлено_Прогноз";"2018-08-17 21:00";286 078
"Отправлено_Прогноз";"2018-08-17 22:00";199 999
"Отправлено_Прогноз";"2018-08-17 23:00";164 795
"Отправлено_Прогноз";"2018-08-18 00:00";194 371
"Отправлено_Прогноз";"2018-08-18 01:00";159 464
"Отправлено_Прогноз";"2018-08-18 02:00";147 648
"Отправлено_Прогноз";"2018-08-18 03:00";169 791
"Отправлено_Прогноз";"2018-08-18 04:00";182 338
"Отправлено_Прогноз";"2018-08-18 05:00";174 724
"Отправлено_Прогноз";"2018-08-18 06:00";246 412
"Отправлено_Прогноз";"2018-08-18 07:00";319 435
"Отправлено_Прогноз";"2018-08-18 08:00";415 987
"Отправлено_Прогноз";"2018-08-18 09:00";314 002
"Отправлено_Прогноз";"2018-08-18 10:00";44 935
"Отправлено_Прогноз";"2018-08-18 11:00";210 911
"Отправлено_Прогноз";"2018-08-18 12:00";100 335
"Отправлено_Прогноз";"2018-08-18 13:00";261 182
"Отправлено_Прогноз";"2018-08-18 14:00";392 782
"Отправлено_Прогноз";"2018-08-18 15:00";440 628
"Отправлено_Прогноз";"2018-08-18 16:00";420 744
"Отправлено_Прогноз";"2018-08-18 17:00";369 169
"Отправлено_Прогноз";"2018-08-18 18:00";367 556
"Отправлено_Прогноз";"2018-08-18 19:00";406 013
"Отправлено_Прогноз";"2018-08-18 20:00";473 489
"Отправлено_Прогноз";"2018-08-18 21:00";329 469
"Отправлено_Прогноз";"2018-08-18 22:00";198 737
"Отправлено_Прогноз";"2018-08-18 23:00";156 977
"Отправлено_Прогноз";"2018-08-19 00:00";181 384
"Отправлено_Прогноз";"2018-08-19 01:00";98 621
"Отправлено_Прогноз";"2018-08-19 02:00";120 903
"Отправлено_Прогноз";"2018-08-19 03:00";205 321
"Отправлено_Прогноз";"2018-08-19 04:00";247 328
"Отправлено_Прогноз";"2018-08-19 05:00";220 751
"Отправлено_Прогноз";"2018-08-19 06:00";275 577
"Отправлено_Прогноз";"2018-08-19 07:00";303 969
"Отправлено_Прогноз";"2018-08-19 08:00";411 530
"Отправлено_Прогноз";"2018-08-19 09:00";472 650
"Отправлено_Прогноз";"2018-08-19 10:00";465 251
"Отправлено_Прогноз";"2018-08-19 11:00";468 218
"Отправлено_Прогноз";"2018-08-19 12:00";420 787
"Отправлено_Прогноз";"2018-08-19 13:00";336 119
"Отправлено_Прогноз";"2018-08-19 14:00";342 426
"Отправлено_Прогноз";"2018-08-19 15:00";478 352
"Отправлено_Прогноз";"2018-08-19 16:00";437 247
"Отправлено_Прогноз";"2018-08-19 17:00";389 109
"Отправлено_Прогноз";"2018-08-19 18:00";358 400
"Отправлено_Прогноз";"2018-08-19 19:00";331 741
"Отправлено_Прогноз";"2018-08-19 20:00";293 350
"Отправлено_Прогноз";"2018-08-19 21:00";235 286
"Отправлено_Прогноз";"2018-08-19 22:00";155 598
"Отправлено_Прогноз";"2018-08-19 23:00";117 664
"Отправлено_Прогноз";"2018-08-20 00:00";144 437
"Отправлено_Прогноз";"2018-08-20 01:00";84 737
"Отправлено_Прогноз";"2018-08-20 02:00";99 714
"Отправлено_Прогноз";"2018-08-20 03:00";145 137
"Отправлено_Прогноз";"2018-08-20 04:00";162 215
"Отправлено_Прогноз";"2018-08-20 05:00";160 966
"Отправлено_Прогноз";"2018-08-20 06:00";252 490
"Отправлено_Прогноз";"2018-08-20 07:00";289 810
"Отправлено_Прогноз";"2018-08-20 08:00";384 279
"Отправлено_Прогноз";"2018-08-20 09:00";392 463
"Отправлено_Прогноз";"2018-08-20 10:00";362 619
"Отправлено_Прогноз";"2018-08-20 11:00";643 002
"Отправлено_Прогноз";"2018-08-20 12:00";435 027
"Отправлено_Прогноз";"2018-08-20 13:00";432 581
"Отправлено_Прогноз";"2018-08-20 14:00";415 182
"Отправлено_Прогноз";"2018-08-20 15:00";431 467
"Отправлено_Прогноз";"2018-08-20 16:00";387 924
"Отправлено_Прогноз";"2018-08-20 17:00";391 996
"Отправлено_Прогноз";"2018-08-20 18:00";365 705
"Отправлено_Прогноз";"2018-08-20 19:00";332 922
"Отправлено_Прогноз";"2018-08-20 20:00";300 673
"Отправлено_Прогноз";"2018-08-20 21:00";225 751
"Отправлено_Прогноз";"2018-08-20 22:00";180 502
"Отправлено_Прогноз";"2018-08-20 23:00";104 196
"Отправлено_Прогноз";"2018-08-21 00:00";173 526
"Отправлено_Прогноз";"2018-08-21 01:00";80 398
"Отправлено_Прогноз";"2018-08-21 02:00";96 787
"Отправлено_Прогноз";"2018-08-21 03:00";131 519
"Отправлено_Прогноз";"2018-08-21 04:00";156 575
"Отправлено_Прогноз";"2018-08-21 05:00";145 255
"Отправлено_Прогноз";"2018-08-21 06:00";218 810
"Отправлено_Прогноз";"2018-08-21 07:00";634 886
"Отправлено_Прогноз";"2018-08-21 08:00";536 704
"Отправлено_Прогноз";"2018-08-21 09:00";427 185
"Отправлено_Прогноз";"2018-08-21 10:00";416 598
